CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	LIPID SPECIES LEVEL	LIPID MOLECULAR SPECIES LEVEL	LIPID SN POSITION LEVEL	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM	curies_goldstandard	invalid_ids_goldstandard
1235	400	18245	155638	Peptide	Gamma-glutamyl Amino Acid	657	NAMED	PXVCMZCJAUJLJP-YUMQZZPRSA-N	O=C(O)[C@@H](N)CCC(N[C@@H](CC1=CNC=N1)C(O)=O)=O	gamma-glutamylhistidine	gamma-glutamylhistidine				37460-15-4	5380197	HMDB0029151		7017195	Pos Early	['INCHIKEY:PXVCMZCJAUJLJP-YUMQZZPRSA-N', 'HMDB:HMDB0029151', 'PUBCHEM.COMPOUND:7017195', 'SMILES:O=C(O)[C@@H](N)CCC(N[C@@H](CC1=CNC=N1)C(O)=O)=O', 'CAS:37460-15-4']	{}
1239	209	17945	126830	Lipid	Fatty Acid, Monohydroxy	2017	NAMED	KIHBGTRZFAVZRV-QGZVFWFLSA-N	OC([C@H](O)CCCCCCCCCCCCCCCC)=O	2-hydroxystearate	2-hydroxystearate				629-22-1	62625	HMDB0242145,HMDB0062549	C03042,C03045	439887,439885,69417	Neg	['HMDB:HMDB0062549', 'SMILES:OC([C@H](O)CCCCCCCCCCCCCCCC)=O', 'INCHIKEY:KIHBGTRZFAVZRV-QGZVFWFLSA-N', 'KEGG.COMPOUND:C03045', 'KEGG.COMPOUND:C03042', 'CAS:629-22-1', 'PUBCHEM.COMPOUND:439887', 'PUBCHEM.COMPOUND:439885', 'HMDB:HMDB0242145', 'PUBCHEM.COMPOUND:69417']	{}
1242	400	15650	155564	Nucleotide	Purine Metabolism, Adenine containing	4367	NAMED	GFYLSDSUCHVORB-IOSLPCCCSA-N	N=C1C2=C(N([C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3)C=N2)N=CN1C	N1-methyladenosine	1-methyladenosine				15763-06-01	4573813	HMDB0003331	C02494	27476	Pos Early	['KEGG.COMPOUND:C02494', 'INCHIKEY:GFYLSDSUCHVORB-IOSLPCCCSA-N', 'SMILES:N=C1C2=C(N([C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3)C=N2)N=CN1C', 'PUBCHEM.COMPOUND:27476', 'CAS:15763-06-1', 'HMDB:HMDB0003331']	{}
1254	209	15122	126021	Lipid	Glycerolipid Metabolism	2902	NAMED	PEDCQBHIVMGVHV-UHFFFAOYSA-N	OC(CO)CO	glycerol	glycerol				56-81-5	733	HMDB0000131	C00116	753	Neg	['SMILES:OC(CO)CO', 'CAS:56-81-5', 'PUBCHEM.COMPOUND:753', 'KEGG.COMPOUND:C00116', 'INCHIKEY:PEDCQBHIVMGVHV-UHFFFAOYSA-N', 'HMDB:HMDB0000131']	{}
1256	400	15506	155556	Lipid	Phospholipid Metabolism	2278	NAMED	CRBHXDCYXIISFC-UHFFFAOYSA-N	[O-]CC[N+](C)(C)C	choline	choline				67-48-1	149278	HMDB0000097	C00114	305	Pos Early	['KEGG.COMPOUND:C00114', 'PUBCHEM.COMPOUND:305', 'CAS:67-48-1', 'HMDB:HMDB0000097', 'INCHIKEY:CRBHXDCYXIISFC-UHFFFAOYSA-N', 'SMILES:[O-]CC[N+](C)(C)C']	{}
1258	400	57746	213341	Amino Acid	Tryptophan Metabolism	283	NAMED	RWZYAGGXGHYGMB-UHFFFAOYSA-N	OC(C1=CC=CC=C1N)=O	anthranilate	anthranilate				118-92-3	222	HMDB0001123	C00108	227	Pos Early	['HMDB:HMDB0001123', 'SMILES:OC(C1=CC=CC=C1N)=O', 'KEGG.COMPOUND:C00108', 'PUBCHEM.COMPOUND:227', 'INCHIKEY:RWZYAGGXGHYGMB-UHFFFAOYSA-N', 'CAS:118-92-3']	{}
1268	400	18369	155662	Peptide	Gamma-glutamyl Amino Acid	659	NAMED	MYFMARDICOWMQP-YUMQZZPRSA-N	CC(C)C[C@@H](C(O)=O)NC(CC[C@@H](C(O)=O)N)=O	gamma-glutamylleucine	gamma-glutamylleucine				2566-39-4	133115	HMDB0011171		151023	Pos Early	['SMILES:CC(C)C[C@@H](C(O)=O)NC(CC[C@@H](C(O)=O)N)=O', 'INCHIKEY:MYFMARDICOWMQP-YUMQZZPRSA-N', 'HMDB:HMDB0011171', 'CAS:2566-39-4', 'PUBCHEM.COMPOUND:151023']	{}
1342	400	12017	155509	Amino Acid	Tyrosine Metabolism	211	NAMED	PFDUUKDQEHURQC-ZETCQYMHSA-N	COC1=C(O)C=CC(C[C@@H](C(O)=O)N)=C1	3-methoxytyrosine	3-methoxytyrosine				300-48-1	8948	HMDB0001434		9307	Pos Early	['INCHIKEY:PFDUUKDQEHURQC-ZETCQYMHSA-N', 'SMILES:COC1=C(O)C=CC(C[C@@H](C(O)=O)N)=C1', 'HMDB:HMDB0001434', 'PUBCHEM.COMPOUND:9307', 'CAS:300-48-1']	{}
1382	402	44619	159615	Xenobiotics	Drug - Psychoactive	6089	NAMED	RTHCYVBBDHJXIQ-UHFFFAOYSA-N	FC(F)(F)C(C=C1)=CC=C1OC(C2=CC=CC=C2)CCNC	fluoxetine	fluoxetine				59333-67-4	3269	HMDB0014615	D00326	3386	Pos Late	['CAS:59333-67-4', 'KEGG.DRUG:D00326', 'PUBCHEM.COMPOUND:3386', 'HMDB:HMDB0014615', 'SMILES:FC(F)(F)C(C=C1)=CC=C1OC(C2=CC=CC=C2)CCNC', 'INCHIKEY:RTHCYVBBDHJXIQ-UHFFFAOYSA-N']	{}
1384	209	12122	124623	Xenobiotics	Drug - Analgesics, Anesthetics	5620	NAMED	CMWTZPSULFXXJA-VIFPVBQESA-N	COC1=CC=C2C(C=CC([C@H](C)C(O)=O)=C2)=C1	naproxen	naproxen				22204-53-1	137720	HMDB0001923	C01517	156391	Neg	['KEGG.COMPOUND:C01517', 'INCHIKEY:CMWTZPSULFXXJA-VIFPVBQESA-N', 'CAS:22204-53-1', 'HMDB:HMDB0001923', 'PUBCHEM.COMPOUND:156391', 'SMILES:COC1=CC=C2C(C=CC([C@H](C)C(O)=O)=C2)=C1']	{}
1442	209	12129	126017	Amino Acid	Leucine, Isoleucine and Valine Metabolism	371	NAMED	AXFYFNCPONWUHW-UHFFFAOYSA-N	CC(C)(O)CC(O)=O	beta-hydroxyisovalerate	beta-hydroxyisovalerate				0625-08-01	62571	HMDB0000754		69362	Neg	['PUBCHEM.COMPOUND:69362', 'SMILES:CC(C)(O)CC(O)=O', 'INCHIKEY:AXFYFNCPONWUHW-UHFFFAOYSA-N', 'HMDB:HMDB0000754', 'CAS:625-08-1']	{}
1488	402	32463	158509	Lipid	Endocannabinoid	2213	NAMED	LGEQQWMQCRIYKG-DOFZRALJSA-N	O=C(NCCO)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	arachidonoyl ethanolamide (20:4)	arachidonoyl ethanolamide (20:4)				94421-68-8	4445241	HMDB0004080	C11695	5281969	Pos Late	['KEGG.COMPOUND:C11695', 'HMDB:HMDB0004080', 'SMILES:O=C(NCCO)CCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCC', 'CAS:94421-68-8', 'INCHIKEY:LGEQQWMQCRIYKG-DOFZRALJSA-N', 'PUBCHEM.COMPOUND:5281969']	{}
1489	402	38165	159012	Lipid	Endocannabinoid	2208	NAMED	HXYVTAGFYLMHSO-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(NCCO)=O	palmitoyl ethanolamide (16:0)	palmitoyl ethanolamide (16:0)				544-31-0	4509	HMDB0002100	C16512	4671	Pos Late	['KEGG.COMPOUND:C16512', 'SMILES:CCCCCCCCCCCCCCCC(NCCO)=O', 'CAS:544-31-0', 'INCHIKEY:HXYVTAGFYLMHSO-UHFFFAOYSA-N', 'PUBCHEM.COMPOUND:4671', 'HMDB:HMDB0002100']	{}
1628	209	32346	124921	Lipid	Primary Bile Acid Metabolism	3530	NAMED	GHCZAUBVMUEKKP-AZDOMVTHSA-N	O=C(NCC(O)=O)CC[C@@H](C)[C@@H]1[C@](CC[C@H]2[C@@]3([H])[C@H](O)C[C@@]4([H])C2(C)CC[C@@H](O)C4)(C)[C@]3([H])CC1	glycochenodeoxycholate	glycochenodeoxycholate				16564-43-5		HMDB0000637	C05466	12544	Neg	['CAS:16564-43-5', 'PUBCHEM.COMPOUND:12544', 'SMILES:O=C(NCC(O)=O)CC[C@@H](C)[C@@H]1[C@](CC[C@H]2[C@@]3([H])[C@H](O)C[C@@]4([H])C2(C)CC[C@@H](O)C4)(C)[C@]3([H])CC1', 'HMDB:HMDB0000637', 'INCHIKEY:GHCZAUBVMUEKKP-AZDOMVTHSA-N', 'KEGG.COMPOUND:C05466']	{}
1629	209	18494	124667	Lipid	Primary Bile Acid Metabolism	3531	NAMED	BHTRKEVKTKCXOH-BJLOMENOSA-N	C[C@@]12[C@@]([H])(CC[C@@]2([C@@H](CCC(NCCS(O)(=O)=O)=O)C)[H])[C@@]([C@@H](C[C@]3([H])C[C@H](O)CC4)O)([H])[C@]([C@]34C)([H])CC1	taurochenodeoxycholate	taurochenodeoxycholate				6009-98-9	343282	HMDB0000951	C05465	387316	Neg	['SMILES:C[C@@]12[C@@]([H])(CC[C@@]2([C@@H](CCC(NCCS(O)(=O)=O)=O)C)[H])[C@@]([C@@H](C[C@]3([H])C[C@H](O)CC4)O)([H])[C@]([C@]34C)([H])CC1', 'INCHIKEY:BHTRKEVKTKCXOH-BJLOMENOSA-N', 'PUBCHEM.COMPOUND:387316', 'KEGG.COMPOUND:C05465', 'CAS:6009-98-9', 'HMDB:HMDB0000951']	{}
1648	209	18497	125762	Lipid	Primary Bile Acid Metabolism	3524	NAMED	WBWWGRHZICKQGZ-HGVCTONRSA-N	C[C@@]12[C@@]([H])(CC[C@]2([H])[C@@H](CCC(NCCS(O)(=O)=O)=O)C)[C@@]([C@H](O)C[C@@]3([H])[C@@]4(CC[C@@H](O)C3)C)([H])[C@@]4([H])C[C@@H]1O	taurocholate	taurocholate				145-42-6		HMDB0000036	C05122	667,546,783,527	Neg	['HMDB:HMDB0000036', 'INCHIKEY:WBWWGRHZICKQGZ-HGVCTONRSA-N', 'SMILES:C[C@@]12[C@@]([H])(CC[C@]2([H])[C@@H](CCC(NCCS(O)(=O)=O)=O)C)[C@@]([C@H](O)C[C@@]3([H])[C@@]4(CC[C@@H](O)C3)C)([H])[C@@]4([H])C[C@@H]1O', 'CAS:145-42-6', 'PUBCHEM.COMPOUND:46783527', 'PUBCHEM.COMPOUND:6675', 'KEGG.COMPOUND:C05122']	{}
1668	209	12261	124839	Lipid	Secondary Bile Acid Metabolism	3560	NAMED	AWDRATDZQPNJFN-RZGBOAIJSA-N	C[C@@]12[C@@]([H])(CC[C@]2([H])[C@@H](CCC(NCCS(O)(=O)=O)=O)C)[C@@](CC[C@@]3([H])[C@@]4(CC[C@@H](O)C3)C)([H])[C@@]4([H])C[C@@H]1O	taurodeoxycholate	taurodeoxycholate				207737-97-1	2015539	HMDB0000896	C05463	2733768	Neg	['CAS:207737-97-1', 'INCHIKEY:AWDRATDZQPNJFN-RZGBOAIJSA-N', 'PUBCHEM.COMPOUND:2733768', 'SMILES:C[C@@]12[C@@]([H])(CC[C@]2([H])[C@@H](CCC(NCCS(O)(=O)=O)=O)C)[C@@](CC[C@@]3([H])[C@@]4(CC[C@@H](O)C3)C)([H])[C@@]4([H])C[C@@H]1O', 'HMDB:HMDB0000896', 'KEGG.COMPOUND:C05463']	{}
1869	209	18281	124655	Xenobiotics	Benzoate Metabolism	4682	NAMED	ONJSZLXSECQROL-UHFFFAOYSA-N	O=C(C1=CC=CC=C1O)NCC(O)=O	2-hydroxyhippurate (salicylurate)	2-hydroxyhippurate (salicylurate)				487-54-7	9835	HMDB0000840	C07588	10253	Neg	['CAS:487-54-7', 'HMDB:HMDB0000840', 'KEGG.COMPOUND:C07588', 'INCHIKEY:ONJSZLXSECQROL-UHFFFAOYSA-N', 'PUBCHEM.COMPOUND:10253', 'SMILES:O=C(C1=CC=CC=C1O)NCC(O)=O']	{}
2028	400	18037	155637	Xenobiotics	Drug - Cardiovascular	5871	NAMED	IUBSYMUCCVWXPE-UHFFFAOYSA-N	COCCC1=CC=C(OCC(O)CNC(C)C)C=C1	metoprolol	metoprolol				56392-17-7	4027	HMDB0001932	D02358	4171	Pos Early	['HMDB:HMDB0001932', 'KEGG.DRUG:D02358', 'INCHIKEY:IUBSYMUCCVWXPE-UHFFFAOYSA-N', 'CAS:56392-17-7', 'SMILES:COCCC1=CC=C(OCC(O)CNC(C)C)C=C1', 'PUBCHEM.COMPOUND:4171']	{}
2050	209	18467	126840	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1606	NAMED	JAZBEHYOTPTENJ-JLNKQSITSA-N	O=C(O)CCC\C=C/C/C=C\C/C=C\C/C=C\C/C=C\CC	eicosapentaenoate (EPA; 20:5n3)	eicosapentaenoate (EPA; 20:5n3)				10-2005-9,10417-94-4	393682	HMDB0001999	C06428	446284	Neg	['INCHIKEY:JAZBEHYOTPTENJ-JLNKQSITSA-N', 'PUBCHEM.COMPOUND:446284', 'SMILES:O=C(O)CCC\\C=C/C/C=C\\C/C=C\\C/C=C\\C/C=C\\CC', 'HMDB:HMDB0001999', 'CAS:10417-94-4', 'KEGG.COMPOUND:C06428']	{'CAS': ['10-2005-9']}
2051	305	15745	146490	Amino Acid	Leucine, Isoleucine and Valine Metabolism	418	NAMED	WXUAQHNMJWJLTG-UHFFFAOYSA-N	CC(C(O)=O)CC(O)=O	methylsuccinate	methylsuccinate				498-21-5	9922	HMDB0001844		10349	Polar	['INCHIKEY:WXUAQHNMJWJLTG-UHFFFAOYSA-N', 'CAS:498-21-5', 'PUBCHEM.COMPOUND:10349', 'SMILES:CC(C(O)=O)CC(O)=O', 'HMDB:HMDB0001844']	{}
2054	305	15765	147158	Amino Acid	Leucine, Isoleucine and Valine Metabolism	415	NAMED	UKFXDFUAPNAMPJ-UHFFFAOYSA-N	CCC(C(O)=O)C(O)=O	ethylmalonate	ethylmalonate				601-75-2	11263	HMDB0000622		11756	Polar	['HMDB:HMDB0000622', 'SMILES:CCC(C(O)=O)C(O)=O', 'CAS:601-75-2', 'PUBCHEM.COMPOUND:11756', 'INCHIKEY:UKFXDFUAPNAMPJ-UHFFFAOYSA-N']	{}
100000007	400	15500	155554	Lipid	Carnitine Metabolism	1978	NAMED	PHIQHXFUZVPYII-ZCFIWIBFSA-N	[O-]C(C[C@@H](O)C[N+](C)(C)C)=O	carnitine	carnitine				0461-05-02	10455	HMDB0000062	C00487,C00308	288	Pos Early	['CAS:461-05-2', 'HMDB:HMDB0000062', 'KEGG.COMPOUND:C00487', 'INCHIKEY:PHIQHXFUZVPYII-ZCFIWIBFSA-N', 'PUBCHEM.COMPOUND:288', 'KEGG.COMPOUND:C00308', 'SMILES:[O-]C(C[C@@H](O)C[N+](C)(C)C)=O']	{}
100000010	209	15749	126035	Xenobiotics	Benzoate Metabolism	4791	NAMED	XMIIGOLPHOKFCH-UHFFFAOYSA-N	OC(CCC1=CC=CC=C1)=O	3-phenylpropionate (hydrocinnamate)	3-phenylpropionate (hydrocinnamate)				501-52-0	10181339	HMDB0000764	C05629	107	Neg	['PUBCHEM.COMPOUND:107', 'INCHIKEY:XMIIGOLPHOKFCH-UHFFFAOYSA-N', 'SMILES:OC(CCC1=CC=CC=C1)=O', 'CAS:501-52-0', 'KEGG.COMPOUND:C05629', 'HMDB:HMDB0000764']	{}
100000011	209	57745	213340	Amino Acid	Phenylalanine Metabolism	162	NAMED	WLJVXDMOQOGPHL-UHFFFAOYSA-N	O=C(O)CC1=CC=CC=C1	phenylacetate	phenylacetate				103-82-2	10181341	HMDB0000209	C07086	999	Neg	['KEGG.COMPOUND:C07086', 'PUBCHEM.COMPOUND:999', 'INCHIKEY:WLJVXDMOQOGPHL-UHFFFAOYSA-N', 'CAS:103-82-2', 'HMDB:HMDB0000209', 'SMILES:O=C(O)CC1=CC=CC=C1']	{}
100000014	209	15753	124647	Xenobiotics	Benzoate Metabolism	4678	NAMED	QIAFMBKCNZACKA-UHFFFAOYSA-N	O=C(C1=CC=CC=C1)NCC(O)=O	hippurate	hippurate				495-69-2	451	HMDB0000714	C01586	464	Neg	['HMDB:HMDB0000714', 'PUBCHEM.COMPOUND:464', 'CAS:495-69-2', 'KEGG.COMPOUND:C01586', 'SMILES:O=C(C1=CC=CC=C1)NCC(O)=O', 'INCHIKEY:QIAFMBKCNZACKA-UHFFFAOYSA-N']	{}
100000015	209	15679	123267	Amino Acid	Tryptophan Metabolism	286	NAMED	FBZONXHGGPHHIY-UHFFFAOYSA-N	OC1=C2C(C(O)=CC(C(O)=O)=N2)=CC=C1	xanthurenate	xanthurenate				59-007	5497	HMDB0000881	C02470	5699	Neg	['HMDB:HMDB0000881', 'SMILES:OC1=C2C(C(O)=CC(C(O)=O)=N2)=CC=C1', 'PUBCHEM.COMPOUND:5699', 'INCHIKEY:FBZONXHGGPHHIY-UHFFFAOYSA-N', 'KEGG.COMPOUND:C02470']	{'CAS': ['59-007']}
100000016	209	15730	123269	Lipid	Fatty Acid, Dicarboxylate	1722	NAMED	TYFQFVWCELRYAO-UHFFFAOYSA-N	OC(CCCCCCC(O)=O)=O	suberate (C8-DC)	suberate (C8-DC)				505-48-6	10025	HMDB0000893	C08278	10457	Neg	['PUBCHEM.COMPOUND:10457', 'KEGG.COMPOUND:C08278', 'INCHIKEY:TYFQFVWCELRYAO-UHFFFAOYSA-N', 'HMDB:HMDB0000893', 'CAS:505-48-6', 'SMILES:OC(CCCCCCC(O)=O)=O']	{}
100000036	209	15676	123263	Amino Acid	Leucine, Isoleucine and Valine Metabolism	402	NAMED	JVQYSWDUAOAHFM-UHFFFAOYSA-N	CCC(C)C(C(O)=O)=O	3-methyl-2-oxovalerate	3-methyl-2-oxovalerate				51829-07-3,1460-34-0	46	HMDB0000491	C03465,C06008,C00671	439,286,440,877	Neg	['KEGG.COMPOUND:C06008', 'INCHIKEY:JVQYSWDUAOAHFM-UHFFFAOYSA-N', 'CAS:51829-07-3', 'KEGG.COMPOUND:C00671', 'KEGG.COMPOUND:C03465', 'HMDB:HMDB0000491', 'SMILES:CCC(C)C(C(O)=O)=O', 'CAS:1460-34-0', 'PUBCHEM.COMPOUND:440877', 'PUBCHEM.COMPOUND:439286']	{}
100000039	400	18374	155665	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	449	NAMED	QEFRNWWLZKMPFJ-YGVKFDHGSA-N	O=C(O)[C@@H](N)CCS(C)=O	methionine sulfoxide	methionine sulfoxide				3226-65-1	139840	HMDB0002005	C02989	158980	Pos Early	['SMILES:O=C(O)[C@@H](N)CCS(C)=O', 'PUBCHEM.COMPOUND:158980', 'KEGG.COMPOUND:C02989', 'HMDB:HMDB0002005', 'INCHIKEY:QEFRNWWLZKMPFJ-YGVKFDHGSA-N', 'CAS:3226-65-1']	{}
100000042	209	15677	123265	Amino Acid	Histidine Metabolism	75	NAMED	JDHILDINMRGULE-LURJTMIESA-N	N[C@H](C(O)=O)CC1=CN=CN1C	3-methylhistidine	3-methylhistidine				368-16-1	58494	HMDB0000479	C01152	64969	Neg	['SMILES:N[C@H](C(O)=O)CC1=CN=CN1C', 'INCHIKEY:JDHILDINMRGULE-LURJTMIESA-N', 'KEGG.COMPOUND:C01152', 'CAS:368-16-1', 'PUBCHEM.COMPOUND:64969', 'HMDB:HMDB0000479']	{}
100000054	400	15685	155573	Amino Acid	Lysine Metabolism	122	NAMED	YSMODUONRAFBET-AKGZTFGVSA-N	N[C@@H](CCC(O)CN)C(O)=O	5-hydroxylysine	5-hydroxylysine				13204-98-3	1002	HMDB0000450	C16741	3032849	Pos Early	['SMILES:N[C@@H](CCC(O)CN)C(O)=O', 'KEGG.COMPOUND:C16741', 'HMDB:HMDB0000450', 'CAS:13204-98-3', 'INCHIKEY:YSMODUONRAFBET-AKGZTFGVSA-N', 'PUBCHEM.COMPOUND:3032849']	{}
100000096	400	15681	155572	Amino Acid	Guanidino and Acetamido Metabolism	574	NAMED	TUHVEAJXIMEOSA-UHFFFAOYSA-N	N=C(N)NCCCC(O)=O	4-guanidinobutanoate	4-guanidinobutanoate				463-003,463-00-3	486	HMDB0003464	C01035	500	Pos Early	['INCHIKEY:TUHVEAJXIMEOSA-UHFFFAOYSA-N', 'SMILES:N=C(N)NCCCC(O)=O', 'PUBCHEM.COMPOUND:500', 'KEGG.COMPOUND:C01035', 'HMDB:HMDB0003464', 'CAS:463-00-3']	{'CAS': ['463-003']}
100000113	305	15129	146474	Peptide	Dipeptide	674	NAMED	DEFJQIDDEAULHB-IMJSIDKUSA-N	N[C@H]([C@](N[C@H]([C@@](O)=O)C)=O)C	alanylalanine	alanylalanine				1948-31-8	4588478	HMDB0028680	C00993	5484352	Polar	['PUBCHEM.COMPOUND:5484352', 'KEGG.COMPOUND:C00993', 'INCHIKEY:DEFJQIDDEAULHB-IMJSIDKUSA-N', 'HMDB:HMDB0028680', 'CAS:1948-31-8', 'SMILES:N[C@H]([C@](N[C@H]([C@@](O)=O)C)=O)C']	{}
100000257	305	15443	146478	Carbohydrate	Aminosugar Metabolism	1447	NAMED	AEMOLEFTQBMNLQ-QIUUJYRFSA-N	O[C@@H]1O[C@H]([C@](O)=O)[C@@H](O)[C@H](O)[C@H]1O	glucuronate	glucuronate				207300-70-7	58552	HMDB0000127	C16245	441478,23677976,94715,65041,444791	Polar	['PUBCHEM.COMPOUND:441478', 'PUBCHEM.COMPOUND:23677976', 'PUBCHEM.COMPOUND:94715', 'PUBCHEM.COMPOUND:65041', 'CAS:207300-70-7', 'PUBCHEM.COMPOUND:444791', 'HMDB:HMDB0000127', 'SMILES:O[C@@H]1O[C@H]([C@](O)=O)[C@@H](O)[C@H](O)[C@H]1O', 'INCHIKEY:AEMOLEFTQBMNLQ-QIUUJYRFSA-N', 'KEGG.COMPOUND:C16245']	{}
100000258	400	43847	157058	Lipid	Glycerolipid Metabolism	2903	NAMED	AWUCVROLDVIAJX-UHFFFAOYSA-N	O=P(O)(OCC(CO)O)O	glycerol 3-phosphate	glycerol 3-phosphate				29849-82-9	734	HMDB0000126	C0093	754	Pos Early	['PUBCHEM.COMPOUND:754', 'SMILES:O=P(O)(OCC(CO)O)O', 'CAS:29849-82-9', 'HMDB:HMDB0000126', 'INCHIKEY:AWUCVROLDVIAJX-UHFFFAOYSA-N']	{'KEGG': ['C0093']}
100000263	400	15716	155583	Amino Acid	Histidine Metabolism	86	NAMED	ACZFBYCNAVEFLC-UHFFFAOYSA-N	OC(C(O)=O)CC1=CN=CN1	imidazole lactate	imidazole lactate				14403-45-3	389128	HMDB0002320	C05568	793	Pos Early	['CAS:14403-45-3', 'INCHIKEY:ACZFBYCNAVEFLC-UHFFFAOYSA-N', 'PUBCHEM.COMPOUND:793', 'SMILES:OC(C(O)=O)CC1=CN=CN1', 'KEGG.COMPOUND:C05568', 'HMDB:HMDB0002320']	{}
100000265	400	15140	155539	Amino Acid	Tryptophan Metabolism	275	NAMED	YGPSJZOEDVAXAB-QMMMGPOBSA-N	N[C@H](C(O)=O)CC(C1=CC=CC=C1N)=O	kynurenine	kynurenine				2922-83-0	141580	HMDB0000684	C00328	161166	Pos Early	['HMDB:HMDB0000684', 'CAS:2922-83-0', 'PUBCHEM.COMPOUND:161166', 'SMILES:N[C@H](C(O)=O)CC(C1=CC=CC=C1N)=O', 'KEGG.COMPOUND:C00328', 'INCHIKEY:YGPSJZOEDVAXAB-QMMMGPOBSA-N']	{}
100000269	400	15990	155613	Lipid	Phospholipid Metabolism	2282	NAMED	SUHOQUVVVLNYQR-MRVPVSSYSA-N	O=P(OCC[N+](C)(C)C)([O-])OC[C@H](O)CO	glycerophosphorylcholine (GPC)	glycerophosphorylcholine (GPC)				28319-77-9	571409	HMDB0000086	C00670	71920	Pos Early	['HMDB:HMDB0000086', 'KEGG.COMPOUND:C00670', 'SMILES:O=P(OCC[N+](C)(C)C)([O-])OC[C@H](O)CO', 'INCHIKEY:SUHOQUVVVLNYQR-MRVPVSSYSA-N', 'PUBCHEM.COMPOUND:71920', 'CAS:28319-77-9']	{}
100000272	305	15142	145758	Amino Acid	Glycine, Serine and Threonine Metabolism	19	NAMED	AYFVYJQAPQTCCC-HRFVKAFMSA-N	O=C(O)[C@@H](N)[C@H](C)O	allo-threonine	allo-threonine				28954-12-3	89699	HMDB0004041	C05519	99289	Polar	['SMILES:O=C(O)[C@@H](N)[C@H](C)O', 'INCHIKEY:AYFVYJQAPQTCCC-HRFVKAFMSA-N', 'PUBCHEM.COMPOUND:99289', 'HMDB:HMDB0004041', 'CAS:28954-12-3', 'KEGG.COMPOUND:C05519']	{}
100000276	305	44688	147873	Carbohydrate	Glycogen Metabolism	1337	NAMED	FYGDTMLNYKFZSV-DZOUCCHMSA-N	O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@@H]1O	maltotriose	maltotriose				1109-28-0	388669	HMDB0001262	C01835	439586	Polar	['KEGG.COMPOUND:C01835', 'HMDB:HMDB0001262', 'PUBCHEM.COMPOUND:439586', 'INCHIKEY:FYGDTMLNYKFZSV-DZOUCCHMSA-N', 'SMILES:O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@@H]1O', 'CAS:1109-28-0']	{}
100000282	305	15720	164302	Amino Acid	Glutamate Metabolism	49	NAMED	RFMMMVDNIPUKGG-YFKPBYRVSA-N	O=C(O)CC[C@@H](C(O)=O)NC(C)=O	N-acetylglutamate	N-acetylglutamate				5817-08-03	1266066	HMDB0001138	C00624	70914	Polar	['PUBCHEM.COMPOUND:70914', 'INCHIKEY:RFMMMVDNIPUKGG-YFKPBYRVSA-N', 'KEGG.COMPOUND:C00624', 'SMILES:O=C(O)CC[C@@H](C(O)=O)NC(C)=O', 'HMDB:HMDB0001138', 'CAS:5817-08-3']	{}
100000295	209	15336	123251	Xenobiotics	Food Component/Plant	5292	NAMED	FEWJPZIEWOKRBE-JCYAYHJZSA-N	OC([C@H](O)[C@@H](O)C(O)=O)=O	tartarate	tartarate				87-69-4,6106-24-7	852	HMDB0000956,HMDB0062642	C00552,C02107,C00898	444,305,875	Neg	['HMDB:HMDB0000956', 'KEGG.COMPOUND:C00898', 'KEGG.COMPOUND:C02107', 'KEGG.COMPOUND:C00552', 'PUBCHEM.COMPOUND:444305', 'CAS:6106-24-7', 'SMILES:OC([C@H](O)[C@@H](O)C(O)=O)=O', 'HMDB:HMDB0062642', 'PUBCHEM.COMPOUND:875', 'INCHIKEY:FEWJPZIEWOKRBE-JCYAYHJZSA-N', 'CAS:87-69-4']	{}
